wormbot template- DO NOT USE COMMAS IN YOUR TEXT!!!!!!!!!!!!!,,,,,,,,,,,
plate number,"Row(A,B,C,D)","Number(1,2,3,4)","Time-lapse (1=on,0=off)","Daily monitor (1=on,0=off)",email,investigator,title,description,starting n ,starting age in days,strain
1,A,1,1,0,jnpitt@uw.edu,pitt,put a title here,put a description here,32,2,enter strain name here
1,A,2,1,0,jnpitt@uw.edu,pitt,put a title here,put a description here,33,2,enter strain name here
1,A,3,1,0,jnpitt@uw.edu,pitt,put a title here,put a description here,34,2,enter strain name here
1,A,4,1,0,jnpitt@uw.edu,pitt,put a title here,put a description here,35,2,enter strain name here
1,B,1,1,0,jnpitt@uw.edu,pitt,put a title here,put a description here,36,2,enter strain name here
1,B,2,1,0,jnpitt@uw.edu,pitt,put a title here,put a description here,37,2,enter strain name here
1,B,3,1,0,jnpitt@uw.edu,pitt,put a title here,put a description here,38,2,enter strain name here
1,B,4,1,0,jnpitt@uw.edu,pitt,put a title here,put a description here,39,2,enter strain name here
1,C,1,1,0,jnpitt@uw.edu,pitt,put a title here,put a description here,40,2,enter strain name here
1,C,2,1,0,jnpitt@uw.edu,pitt,put a title here,put a description here,41,2,enter strain name here
1,C,3,1,0,jnpitt@uw.edu,pitt,put a title here,put a description here,42,2,enter strain name here
1,C,4,1,0,jnpitt@uw.edu,pitt,put a title here,put a description here,43,2,enter strain name here
